name,Longitude,Latitude
K Lab,77.0393103,28.4248315
Pind Balluchi,77.0392204,28.4249125
Punjab Grill,77.0971178,28.5030769
Zambar,77.0971853,28.5026128
Cakes & More,77.0420091,28.5114162
Kwality Wall's Swirl's,77.0419641,28.5114567
Yo! Dimsum,77.0420091,28.5115059
Mx Corn,77.0418253,28.5114067
Red,77.08785083,28.44070881
Rocketchefs,77.0855313,28.4423933
The Fresh Chicken Store,77.0757671,28.4418793
Achoos Food Corner,77.0787681,28.4347278
Aha Bites,77.0898569,28.4308575
Ancient Spice,77.0780576,28.432548
Chimney - The Takeaway,77.078405,28.440599
Costa Coffee,77.0735119,28.4319102
Good to Go,77.0738947,28.436274
Gopi Sweets & Caters,77.0787448,28.4346864
Lavi Foji Dhaba,77.081492,28.4406523
Narayan Fast Food Home,77.0762723,28.4353217
OMG Kitchenz,77.0728193,28.4370922
OMG Tiffinz,77.0728605,28.4371161
Sardarji Chicken Point,77.0754948,28.4394519
Solty Hotel,77.0837565,28.430634
The Burger Chef,77.0756612,28.4419493
Club Tokyo - Best Western Skycity Hotel,77.0347151,28.4580879
Lattitude - Skycity Hotel,77.0349627,28.4582412
Bisque Bakery,77.0857204,28.4807592
Behrouz Biryani,77.1006623,28.4434069
Domino's Pizza,77.1010066,28.4428671
Giani,77.1009167,28.4430378
PizzaVito,77.1007369,28.4431102
Shawarma House,77.1010965,28.4426964
Subway,77.1009167,28.4430378
Asian Bistro,77.1008268,28.4429395
BBQ Factory,77.1009883,28.442717
Faaso's,77.1005772,28.443403
Chaayos,77.1007871,28.4431891
Mosaic - Country Inn & Suites,77.0676442,28.4619878
60 ML - Country Inn & Suites by Carlson,77.0376911,28.468336
Mosaic - Country Inn & Suites by Carlson,77.037781,28.4684343
Big Shot Bar - Country Inn & Suites,77.0918351,28.5092246
Mosaic - Country Inn & Suites By Carlson,77.0684986,28.3349418
Downtown Kitchen & Bar - Courtyard by Marriott,77.080367,28.460925
Courtyard Grill - Courtyard by Marriott,77.080367,28.460925
Di Ghent Boulangerie,77.0835375,28.46836827
Khyen Chyen,77.0832475,28.4683741
The Pint Room,77.0830226,28.4683973
Tughlaq,77.08390966,28.46844136
Big Wong XL,77.0834723,28.4681716
Bunker,77.0831126,28.4682267
Culture Cafe,77.0837421,28.4681975
Nowhere Terrace Brewpub Cafe,77.083048,28.468314
Cafe G - Crowne Plaza,77.0600891,28.4684326
Wildfire - Crowne Plaza,77.0599093,28.4684152
Isabella,77.0928243,28.4937229
Fatburger,77.0882416,28.4947571
Burma Burma,77.0887329,28.4946295
Pier 38,77.0886429,28.4950691
Yum Yum Cha,77.0885987,28.4950762
Amici Cafe,77.0889781,28.4955391
Au Bon Pain,77.088508,28.494832
California Pizza Kitchen,77.0886879,28.4952975
Chai Point,77.0888677,28.4952251
Cherry Comet,77.0888677,28.4953148
Circus,77.0888677,28.495763
Dunkin' Donuts,77.0887329,28.4951674
Holy Smoke,77.0883732,28.4947742
Italiano,77.088598,28.4951096
Krispy Kreme,77.0886879,28.4952079
Not Just Paranthas,77.088598,28.4951096
Oh! Calcutta,77.0886879,28.4952079
Olive Bistro,77.0878786,28.4945922
Pita Pit,77.0886429,28.4950691
Raasta,77.0883732,28.4953121
Red Mango,77.0886879,28.4952079
Rred Hot Asian Bistro,77.0886879,28.4953871
Smaaash,77.0889127,28.4950054
Starbucks,77.0891982,28.4956457
Sutra Gastropub,77.0883282,28.4948147
Taco Bell,77.0883113,28.4942639
The People & Co.,77.0887778,28.4949476
Theobroma,77.0886879,28.4947597
Wendy's,77.0875189,28.4949162
The Wine Company,77.0890476,28.4962285
Cafe Delhi Heights,77.0886879,28.4952079
Cyber Hub Social,77.088508,28.4939356
Delifrance - The France Cafe Bakery,77.08856095,28.49427139
Dhaba By Claridges,77.0886879,28.4953871
Farzi Cafe,77.0886879,28.4952079
Hard Rock Cafe,77.088508,28.4949217
Instapizza,77.0882383,28.494089
Made In Punjab,77.088598,28.4951096
Nando's,77.0888677,28.4954941
Quaff,77.0880651,28.4944224
SodaBottleOpenerWala,77.088508,28.494832
The Grill Mill,77.0884689,28.4940704
Knight Rider,77.0933407,28.4877882
Chaayos,77.0921049,28.4897992
Nooba,77.0875639,28.4942482
Domino's Pizza,77.0890476,28.4945253
